start	end	text
0	8400	Ja ma specjalistów, nie, nie, bo kolejny, weszły poziom tej spragmatyka, ale już na tym etapie robienie testów,
8400	14400	który będzie statni zwyczajna tutaj, na to wtedy już jako ekspektyku, że my pachowców,
14400	18200	nie, specjalistów muszka do drugu razów medycznych od danych,
18200	23800	bo pogodowy, czy od czegoś, i to im dla mnie, gra specjalistów, robimy to na rządzie
23800	28000	i robimy jakieś eksperymenty, że procent się na ile to działa,
28000	32400	ale duchki chnale to jest przydatne, nie jest to taki jeszcze kolejne etap do skonalenia.
32400	39800	Na tym poziomie testy robimy słyszenie mi ludźmi, no, ale to jedyne taki ważny
39800	44000	i waru najdodo, to był grupy tych testachów.
44000	47800	No to to nie być grupa w narele prezentatywna, nie wiem,
47800	50400	na społeczeństwa, zaczniesz, żeby to dotyczy na,
50800	53800	jeżeli robimy jakieś narzędzia dla pływaków,
53800	59200	nie, no, to coś tam wpływamy pomaga, no, coś tam robicie.
59200	63000	No to czy się nie będziecie brać tych chwilę lajstów, to tych testów.
63000	66000	Nie, a tylko pływaków, chociaż to może być pływak,
66000	71600	a ma to orpływak profesjonalista, więc jest skolnie poliski, nie?
71600	74800	Nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie, czy nie.
75000	79000	Też no, jak robicie coś dźwiękiem, no to jako testerów,
79000	82800	bieżącieniu, że nie mają problemu zasuchę, no, no,
82800	87200	mogą lubić taką cienną muzykę, no, ale my zakładamy w testachsymotycznych,
87200	90200	że ta cementyka ta treść, nie, ta jest to ta,
90200	96200	jest przez ludzi, biorący udział w testach, no, jakby rozpoznawalna,
96200	99200	nie, i w jaki sposób oni są stają docenić na chwilę,
99200	102400	to coś, co co jest ważny, jest idoczny, czy jest słyszalny,
102400	105600	że nie wiem, czy nie wiem, czy tak, to nie wiem, czy nie, czy nie,
105600	109200	więc to, to jest potem sematek, czy grano, czy jest grano, czy jest grano,
109200	114800	czy trzeba próbować normalnie odczytać z tydanych i ocenicznie,
114800	118400	no i złyka, złyju, jak muskale, i z głową, nie?
118400	121200	Zerodę pięciu, wyzerodę dziesięciło.
121200	124000	Możemy się taka wlewów prawo, czyli od ministerzy tego trzech, nie?
124000	127400	Dzie zerodu jest takie taka norma,
127400	132000	a podsucić na te dane i jedne są ponad norma, drugi są,
132000	135600	no, kiepskie jakości, co zależy jak, jak przybytujecie
135600	138400	i u te dane, jak i to jest jak i to jest trochę.
138400	141200	Więc to jest ta skala minuczy.
141200	144000	Nie ma co przy przesadlać, żeby zjekłaściń wyskaniu,
144000	146400	jak od zera rodzi się, czy tu trudno jest to doceniczny,
146400	149000	czy ci się rzudźmy się demo dosyć, nie?
149000	150000	Już tak jest.
150000	153200	Zlepię prać, takim, co chmuje się stale, nie?
153200	157000	No, chyba, że jest 6, 3, a złożony problem, że spokojnie można
157000	160800	skali od zera, ty 10, bo jak by się już nie cała się.
160800	162760	Ale tak, no to wszystkim by conhecer-cie,
162760	164800	jakby to jest najpasniejsze części,
164800	166440	trzy wszystkim do stącienden czwarty.
166440	169640	Więc jak gręzwieniecie, jak to Was się experimenty.
171040	172920	Że było sidewalkne,
172920	175200	no proszę w godsza czy dotakyna insanu,
175200	177000	na odpowiedź το środki crapu.
177000	180260	Jak tam pokazujecie i to这里 robimy ETF,
180260	181840	nie daj Billy Zweryfikowaàcies,
181840	183020	to te waszą Making3udzu clase,
183020	185800	tak, w کے �urze typ zagrania wyarkandy,
185800	189040	słyszedłem koniec ek Exactly zaczyna tym.
189040	193040	Po prostu słyszymy filmować na ile to pełni sensowne rolę,
193040	195540	względem jakichś realnych używitowników ludzi,
195540	197540	i nie jakichś wydumami plany.
197540	199040	No ile to się im przygaję,
199040	201040	najgana, co ja ja to pozytywnie.
201040	203040	I ten zapłyt tutaj tutaj najważniejsze,
203040	204040	nie?
204040	205040	Mówi już dalej informacji,
205040	207040	mi się koncentrzyjemy na używitowników.
207040	209040	I nie najlepszy,
209040	210040	na razie się tutaj im gana,
210040	212040	są też przydatności właśnie plany,
212040	213040	dla klartów używitowników.
213040	215040	Jestem też okazja,
215040	216040	żeby też na mieszczek,
216040	218040	bo no ja.
219040	220040	Przyzaniu, że trzyki,
220040	222040	cztery i akłoty dalsze
222040	223040	za typowe,
223040	225040	w ten dzisiejszym części nasjąć.
225040	227040	No i z tego,
227040	228040	z tego,
228040	230040	co w zaszuje tam takie do mnie
230040	231040	tam,
231040	232040	ale to znaczy wyczesimy.
232040	233040	Ale,
233040	234040	ale,
234040	235040	z więcej grupy
235040	236040	ciężko powiedzieć.
236040	237040	No,
237040	238040	zobaczem,
238040	239040	macie,
239040	240040	wspomnę,
240040	241040	w szokach,
241040	242040	w tym,
242040	243040	zatem,
243040	244040	w tym,
244040	245040	w tym,
245040	246040	w tym,
246040	247040	ta układu.
247040	248040	Nie  jestem,
248040	249040	kundą,
249040	250040	nie,
250040	251040	nie.
251040	252040	Nie,
252040	253040	Nie,
253040	256040	nie.
256040	257040	Nie,
257040	266040	nie.
266040	271040	nie umie?
271040	272040	nie?
272040	276340	decenę najtyżnioski stary wyciągać, nie by stópić się, jak do tykonatymi wierzy,
277320	279620	nieoślańmyission trochę,
279880	284500	że było podobie כל dystankiem
286020	288260	i tak może już zapomnijmy filtroła
289280	291480	zaянuniu,
292180	297220	tak dobrze.
297220	300620	To też, bo to roznodęliśmy z dwóch nadupanym podpoczerny,
300620	303220	to był z poroztorom niestności.
305220	309220	Muszają się modelem, że o wasim przypadku jest nię.
313220	316220	Nie ma się z tym porównychwać nię.
316220	321220	No jest jakiś problem, jak już tam budujemy naszą metodę,
321220	324220	ale często ciężko jest zdanem.
325220	328220	I nasz pewną, jak tam nie zatkuło,
328220	332220	te dane brał z jakiś, no, na przykład z takich,
332220	334220	o niej, co ci generatywny model,
334220	337220	a nie, że mnie tworzą tam modelę i sobie organizamy dany.
338220	341220	Czy, czy, czy, czy w jakim sensie wocenie,
341220	344220	czy nawet wuczeniu maszym metodu, to z tymarej,
344220	345220	nie wykorzystujemy nam,
345220	348220	nie naturalne dane, nie naturalne obserwacje,
348220	350220	ale jakiś tłucz nadanę do generowania,
350220	351220	przez taki, czy innymi młodem.
351220	353220	Nie, to jest tak jak już,
353220	356220	żeby tego nie roło, czy nie, czy żeby, żeby tak.
356220	359220	Jakieś modeli, modelaś wucznejbiencji,
359220	362220	jak iść takim, właśnie, poważne,
362220	364220	no, nie, nie ma się lewnik, nie, bo takim,
364220	366220	maszylewnik, normalnie, że waszyk metodę,
366220	368220	ale uczestuje się, przychodziło o takim modelek,
368220	371220	które jakby zastępują mnie obserwacje,
371220	375220	jak im sensie tworzą, wirplu, amyświaty i wzobiecznie,
375220	377220	niewerfikowali swoich narzędzi,
377220	380220	względem, no, wściej, generowany, czy takim modelę,
380220	382220	czy akutnie, bo to chodzi.
382220	385220	Pozyjemy nadanę i wyjślały,
385220	387220	realny obserwacje,
387220	388220	nie, jak iść tam nie,
388220	389220	nie, jak iść tam nie.
389220	391220	Pomnożony, sztóżni, jak dalej,
391220	393220	no bo to, to się stysuje,
393220	394220	no mówiły, AI,
394220	396220	ale no to jest trochę bref,
